,utc_timestamp,xr_obs_u,xr_obs_v
5400,2008-09-10 23:00:00.000003+00:00,-2.934190145947438,-1.822768027546557
5401,2008-09-10 23:20:00.000002+00:00,-3.8629157174391135,-2.109793551540939
5402,2008-09-10 23:40:00.000001+00:00,-4.8215230259894835,-2.3327965338105967
5403,2008-09-11 00:00:00+00:00,-5.806260996535294,-2.481936934214035
5404,2008-09-11 00:19:59.999999+00:00,-6.806691782139862,-2.543613920246596
5405,2008-09-11 00:39:59.999998+00:00,-7.802895676439421,-2.5028585202740956
5406,2008-09-11 00:59:59.999997+00:00,-8.765178397272464,-2.3466348796522807
5407,2008-09-11 01:19:59.999996+00:00,-9.656489722934129,-2.0672410088734745
5408,2008-09-11 01:40:00.000004+00:00,-10.437077137130007,-1.6649599179915837
5409,2008-09-11 02:00:00.000003+00:00,-11.070329244998538,-1.1492844807842877
